dialogue_id,game,text,speaker,utterance_idx,seed,game score,level,is_positive
12000,treasure_hunter," This is the present state of the game



                    ________  ________  __    __  ________        
                   |        \|        \|  \  |  \|        \       
                    \$$$$$$$$| $$$$$$$$| $$  | $$ \$$$$$$$$       
                      | $$   | $$__     \$$\/  $$   | $$          
                      | $$   | $$  \     >$$  $$    | $$          
                      | $$   | $$$$$    /  $$$$\    | $$          
                      | $$   | $$_____ |  $$ \$$\   | $$          
                      | $$   | $$     \| $$  | $$   | $$          
                       \$$    \$$$$$$$$ \$$   \$$    \$$          
              __       __   ______   _______   __        _______  
             |  \  _  |  \ /      \ |       \ |  \      |       \ 
             | $$ / \ | $$|  $$$$$$\| $$$$$$$\| $$      | $$$$$$$\
             | $$/  $\| $$| $$  | $$| $$__| $$| $$      | $$  | $$
             | $$  $$$\ $$| $$  | $$| $$    $$| $$      | $$  | $$
             | $$ $$\$$\$$| $$  | $$| $$$$$$$\| $$      | $$  | $$
             | $$$$  \$$$$| $$__/ $$| $$  | $$| $$_____ | $$__/ $$
             | $$$    \$$$ \$$    $$| $$  | $$| $$     \| $$    $$
              \$$      \$$  \$$$$$$  \$$   \$$ \$$$$$$$$ \$$$$$$$ 

Your objective is to recover the fly larva from the floor of the steam room.

-= Steam Room =-
You are in a steam room. A typical one.



There is an unguarded exit to the south.

There is a fly larva on the floor.


 Choose your next action.Remember to express your action in the valid format and to surround the action between quotes ('')",user,0,12000,0.5,1,1
12000,treasure_hunter,pick up fly larva |,assistant,1,12000,0.5,1,1
12000,treasure_hunter," This is the present state of the game
I only understood you as far as wanting to pick up the fly larva.


 Choose your next action.Remember to express your action in the valid format and to surround the action between quotes ('')",user,2,12000,0.5,1,1
12000,treasure_hunter,pick up fly larva,assistant,3,12000,0.5,1,1
29451,treasure_hunter," This is the present state of the game



                    ________  ________  __    __  ________        
                   |        \|        \|  \  |  \|        \       
                    \$$$$$$$$| $$$$$$$$| $$  | $$ \$$$$$$$$       
                      | $$   | $$__     \$$\/  $$   | $$          
                      | $$   | $$  \     >$$  $$    | $$          
                      | $$   | $$$$$    /  $$$$\    | $$          
                      | $$   | $$_____ |  $$ \$$\   | $$          
                      | $$   | $$     \| $$  | $$   | $$          
                       \$$    \$$$$$$$$ \$$   \$$    \$$          
              __       __   ______   _______   __        _______  
             |  \  _  |  \ /      \ |       \ |  \      |       \ 
             | $$ / \ | $$|  $$$$$$\| $$$$$$$\| $$      | $$$$$$$\
             | $$/  $\| $$| $$  | $$| $$__| $$| $$      | $$  | $$
             | $$  $$$\ $$| $$  | $$| $$    $$| $$      | $$  | $$
             | $$ $$\$$\$$| $$  | $$| $$$$$$$\| $$      | $$  | $$
             | $$$$  \$$$$| $$__/ $$| $$  | $$| $$_____ | $$__/ $$
             | $$$    \$$$ \$$    $$| $$  | $$| $$     \| $$    $$
              \$$      \$$  \$$$$$$  \$$   \$$ \$$$$$$$$ \$$$$$$$ 

Hey, thanks for coming over to TextWorld! Please pick up the broom from the floor of the steam room.

-= Steam Room =-
You are in a steam room. An ordinary kind of place. The room is well lit.



You need an unguarded exit? You should try going east. You need an unblocked exit? You should try going south.

There is a broom on the floor.


 Choose your next action.Remember to express your action in the valid format and to surround the action between quotes ('')",user,0,29451,0.5,1,1
29451,treasure_hunter,pick up the broom from the floor of the steam room.,assistant,1,29451,0.5,1,1
29451,treasure_hunter," This is the present state of the game
I only understood you as far as wanting to pick up the broom.


 Choose your next action.Remember to express your action in the valid format and to surround the action between quotes ('')",user,2,29451,0.5,1,1
29451,treasure_hunter,pick up broom,assistant,3,29451,0.5,1,1
19404,treasure_hunter," This is the present state of the game



                    ________  ________  __    __  ________        
                   |        \|        \|  \  |  \|        \       
                    \$$$$$$$$| $$$$$$$$| $$  | $$ \$$$$$$$$       
                      | $$   | $$__     \$$\/  $$   | $$          
                      | $$   | $$  \     >$$  $$    | $$          
                      | $$   | $$$$$    /  $$$$\    | $$          
                      | $$   | $$_____ |  $$ \$$\   | $$          
                      | $$   | $$     \| $$  | $$   | $$          
                       \$$    \$$$$$$$$ \$$   \$$    \$$          
              __       __   ______   _______   __        _______  
             |  \  _  |  \ /      \ |       \ |  \      |       \ 
             | $$ / \ | $$|  $$$$$$\| $$$$$$$\| $$      | $$$$$$$\
             | $$/  $\| $$| $$  | $$| $$__| $$| $$      | $$  | $$
             | $$  $$$\ $$| $$  | $$| $$    $$| $$      | $$  | $$
             | $$ $$\$$\$$| $$  | $$| $$$$$$$\| $$      | $$  | $$
             | $$$$  \$$$$| $$__/ $$| $$  | $$| $$_____ | $$__/ $$
             | $$$    \$$$ \$$    $$| $$  | $$| $$     \| $$    $$
              \$$      \$$  \$$$$$$  \$$   \$$ \$$$$$$$$ \$$$$$$$ 

You are now playing a fast paced game of TextWorld! Your task for today is to lift the poem from the floor of the bedroom.

-= Bedroom =-
You've walked into a normal room. Your mind races to think of what kind of room would be normal. And then it hits you. Of course. You're in the bedroom. I guess you better just go and list everything you see here.



You don't like doors? Why not try going east, that entranceway is unblocked. You don't like doors? Why not try going north, that entranceway is unblocked.

There is a poem on the floor.


 Choose your next action.Remember to express your action in the valid format and to surround the action between quotes ('')",user,0,19404,0.5,1,1
19404,treasure_hunter,"pick up the poem from the floor
",assistant,1,19404,0.5,1,1
