dialogue_id,game,text,speaker,utterance_idx,seed,game score,level
37117,cooking," This is the present state of the game



                    ________  ________  __    __  ________        
                   |        \|        \|  \  |  \|        \       
                    \$$$$$$$$| $$$$$$$$| $$  | $$ \$$$$$$$$       
                      | $$   | $$__     \$$\/  $$   | $$          
                      | $$   | $$  \     >$$  $$    | $$          
                      | $$   | $$$$$    /  $$$$\    | $$          
                      | $$   | $$_____ |  $$ \$$\   | $$          
                      | $$   | $$     \| $$  | $$   | $$          
                       \$$    \$$$$$$$$ \$$   \$$    \$$          
              __       __   ______   _______   __        _______  
             |  \  _  |  \ /      \ |       \ |  \      |       \ 
             | $$ / \ | $$|  $$$$$$\| $$$$$$$\| $$      | $$$$$$$\
             | $$/  $\| $$| $$  | $$| $$__| $$| $$      | $$  | $$
             | $$  $$$\ $$| $$  | $$| $$    $$| $$      | $$  | $$
             | $$ $$\$$\$$| $$  | $$| $$$$$$$\| $$      | $$  | $$
             | $$$$  \$$$$| $$__/ $$| $$  | $$| $$_____ | $$__/ $$
             | $$$    \$$$ \$$    $$| $$  | $$| $$     \| $$    $$
              \$$      \$$  \$$$$$$  \$$   \$$ \$$$$$$$$ \$$$$$$$ 

You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!

-= Kitchen =-
You've just walked into a kitchen.

You bend down to tie your shoe. When you stand up, you notice a fridge. The fridge is empty, what a horrible day! You make out an oven. Wow, isn't TextWorld just the best? You make out a table. On the table you can make out a cookbook. Now that's what I call TextWorld! You can make out a counter. On the counter you can make out a diced fried red potato, a red bell pepper and a raw yellow potato. You can't wait to tell the folks at home about this! You can see a stove. The stove is conventional. But the thing hasn't got anything on it.



these are the possible verbs you can use: ['chop', 'close', 'cook', 'dice', 'drink', 'drop', 'eat', 'examine', 'go', 'insert', 'inventory', 'lock', 'look', 'open', 'prepare', 'put', 'slice', 'take', 'unlock'].

 Choose your next action.Remember to express your action in the valid format and to surround the action between quotes ('')",user,0,37117,1.875,1
37117,cooking, go kitchen,assistant,1,37117,1.875,1
37117,cooking," This is the present state of the game
You can't see any such thing.

these are the possible verbs you can use: ['chop', 'close', 'cook', 'dice', 'drink', 'drop', 'eat', 'examine', 'go', 'insert', 'inventory', 'lock', 'look', 'open', 'prepare', 'put', 'slice', 'take', 'unlock'].

 Choose your next action.Remember to express your action in the valid format and to surround the action between quotes ('')",user,2,37117,1.875,1
37117,cooking, examine cookbook,assistant,3,37117,1.875,1
37117,cooking," This is the present state of the game
You open the copy of ""Cooking: A Modern Approach (3rd Ed.)"" and start reading:

Recipe #1
---------
Gather all following ingredients and follow the directions to prepare this tasty meal.

Ingredients:
red potato

Directions:
dice the red potato
  fry the red potato
  prepare meal


<score>
0
</score><moves>
1
</moves>
these are the possible verbs you can use: ['chop', 'close', 'cook', 'dice', 'drink', 'drop', 'eat', 'examine', 'go', 'insert', 'inventory', 'lock', 'look', 'open', 'prepare', 'put', 'slice', 'take', 'unlock'].

 Choose your next action.Remember to express your action in the valid format and to surround the action between quotes ('')",user,4,37117,1.875,1
37117,cooking, dice red potato,assistant,5,37117,1.875,1
37117,cooking," This is the present state of the game
(with the red potato)
The red potato is already diced.

<score>
0
</score><moves>
2
</moves>
these are the possible verbs you can use: ['chop', 'close', 'cook', 'dice', 'drink', 'drop', 'eat', 'examine', 'go', 'insert', 'inventory', 'lock', 'look', 'open', 'prepare', 'put', 'slice', 'take', 'unlock'].

 Choose your next action.Remember to express your action in the valid format and to surround the action between quotes ('')",user,6,37117,1.875,1
37117,cooking, cook red potato,assistant,7,37117,1.875,1
37117,cooking," This is the present state of the game
(with the red potato)
You need to take the red potato first.

<score>
0
</score><moves>
3
</moves>
these are the possible verbs you can use: ['chop', 'close', 'cook', 'dice', 'drink', 'drop', 'eat', 'examine', 'go', 'insert', 'inventory', 'lock', 'look', 'open', 'prepare', 'put', 'slice', 'take', 'unlock'].

 Choose your next action.Remember to express your action in the valid format and to surround the action between quotes ('')",user,8,37117,1.875,1
37117,cooking, take red potato,assistant,9,37117,1.875,1
37117,cooking," This is the present state of the game
You take the red potato from the counter.

<score>
1
</score><moves>
4
</moves>
Your score has just gone up by one point.

these are the possible verbs you can use: ['chop', 'close', 'cook', 'dice', 'drink', 'drop', 'eat', 'examine', 'go', 'insert', 'inventory', 'lock', 'look', 'open', 'prepare', 'put', 'slice', 'take', 'unlock'].

 Choose your next action.Remember to express your action in the valid format and to surround the action between quotes ('')",user,10,37117,1.875,1
37117,cooking, cook red potato,assistant,11,37117,1.875,1
37117,cooking," This is the present state of the game
What do you want to cook the red potato with?

these are the possible verbs you can use: ['chop', 'close', 'cook', 'dice', 'drink', 'drop', 'eat', 'examine', 'go', 'insert', 'inventory', 'lock', 'look', 'open', 'prepare', 'put', 'slice', 'take', 'unlock'].

 Choose your next action.Remember to express your action in the valid format and to surround the action between quotes ('')",user,12,37117,1.875,1
37117,cooking, prepare meal,assistant,13,37117,1.875,1
37117,cooking," This is the present state of the game
Adding the meal to your inventory.

<score>
2
</score><moves>
5
</moves>
Your score has just gone up by one point.

these are the possible verbs you can use: ['chop', 'close', 'cook', 'dice', 'drink', 'drop', 'eat', 'examine', 'go', 'insert', 'inventory', 'lock', 'look', 'open', 'prepare', 'put', 'slice', 'take', 'unlock'].

 Choose your next action.Remember to express your action in the valid format and to surround the action between quotes ('')",user,14,37117,1.875,1
37117,cooking, eat meal,assistant,15,37117,1.875,1
27736,cooking," This is the present state of the game



                    ________  ________  __    __  ________        
                   |        \|        \|  \  |  \|        \       
                    \$$$$$$$$| $$$$$$$$| $$  | $$ \$$$$$$$$       
                      | $$   | $$__     \$$\/  $$   | $$          
                      | $$   | $$  \     >$$  $$    | $$          
                      | $$   | $$$$$    /  $$$$\    | $$          
                      | $$   | $$_____ |  $$ \$$\   | $$          
                      | $$   | $$     \| $$  | $$   | $$          
                       \$$    \$$$$$$$$ \$$   \$$    \$$          
              __       __   ______   _______   __        _______  
             |  \  _  |  \ /      \ |       \ |  \      |       \ 
             | $$ / \ | $$|  $$$$$$\| $$$$$$$\| $$      | $$$$$$$\
             | $$/  $\| $$| $$  | $$| $$__| $$| $$      | $$  | $$
             | $$  $$$\ $$| $$  | $$| $$    $$| $$      | $$  | $$
             | $$ $$\$$\$$| $$  | $$| $$$$$$$\| $$      | $$  | $$
             | $$$$  \$$$$| $$__/ $$| $$  | $$| $$_____ | $$__/ $$
             | $$$    \$$$ \$$    $$| $$  | $$| $$     \| $$    $$
              \$$      \$$  \$$$$$$  \$$   \$$ \$$$$$$$$ \$$$$$$$ 

You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!

-= Kitchen =-
Well, here we are in the kitchen. You try to gain information on your surroundings by using a technique you call ""looking.""

You can make out an opened fridge. The fridge contains a fried egg. You smell an awful smell, and follow it to an oven. You rest your hand against a wall, but you miss the wall and fall onto a table. The table is massive. On the table you can make out a cookbook, so there's that. You see a counter. You see a knife on the counter. What's that over there? It looks like it's a stove. But there isn't a thing on it. Hm. Oh well



these are the possible verbs you can use: ['chop', 'close', 'cook', 'dice', 'drink', 'drop', 'eat', 'examine', 'go', 'insert', 'inventory', 'lock', 'look', 'open', 'prepare', 'put', 'slice', 'take', 'unlock'].

 Choose your next action.Remember to express your action in the valid format and to surround the action between quotes ('')",user,0,27736,3.0,1
27736,cooking, go kitchen,assistant,1,27736,3.0,1
27736,cooking," This is the present state of the game
You can't see any such thing.

these are the possible verbs you can use: ['chop', 'close', 'cook', 'dice', 'drink', 'drop', 'eat', 'examine', 'go', 'insert', 'inventory', 'lock', 'look', 'open', 'prepare', 'put', 'slice', 'take', 'unlock'].

 Choose your next action.Remember to express your action in the valid format and to surround the action between quotes ('')",user,2,27736,3.0,1
27736,cooking, examine cookbook,assistant,3,27736,3.0,1
27736,cooking," This is the present state of the game
You open the copy of ""Cooking: A Modern Approach (3rd Ed.)"" and start reading:

Recipe #1
---------
Gather all following ingredients and follow the directions to prepare this tasty meal.

Ingredients:
egg

Directions:
fry the egg
  prepare meal


<score>
0
</score><moves>
1
</moves>
these are the possible verbs you can use: ['chop', 'close', 'cook', 'dice', 'drink', 'drop', 'eat', 'examine', 'go', 'insert', 'inventory', 'lock', 'look', 'open', 'prepare', 'put', 'slice', 'take', 'unlock'].

 Choose your next action.Remember to express your action in the valid format and to surround the action between quotes ('')",user,4,27736,3.0,1
27736,cooking, take egg,assistant,5,27736,3.0,1
27736,cooking," This is the present state of the game
You take the egg from the fridge.

<score>
1
</score><moves>
2
</moves>
Your score has just gone up by one point.

these are the possible verbs you can use: ['chop', 'close', 'cook', 'dice', 'drink', 'drop', 'eat', 'examine', 'go', 'insert', 'inventory', 'lock', 'look', 'open', 'prepare', 'put', 'slice', 'take', 'unlock'].

 Choose your next action.Remember to express your action in the valid format and to surround the action between quotes ('')",user,6,27736,3.0,1
27736,cooking, prepare meal,assistant,7,27736,3.0,1
