,dialogue_id,game,text,speaker,utterance_idx
0,591,commonsense," This is the present state of the game



                    ________  ________  __    __  ________        
                   |        \|        \|  \  |  \|        \       
                    \$$$$$$$$| $$$$$$$$| $$  | $$ \$$$$$$$$       
                      | $$   | $$__     \$$\/  $$   | $$          
                      | $$   | $$  \     >$$  $$    | $$          
                      | $$   | $$$$$    /  $$$$\    | $$          
                      | $$   | $$_____ |  $$ \$$\   | $$          
                      | $$   | $$     \| $$  | $$   | $$          
                       \$$    \$$$$$$$$ \$$   \$$    \$$          
              __       __   ______   _______   __        _______  
             |  \  _  |  \ /      \ |       \ |  \      |       \ 
             | $$ / \ | $$|  $$$$$$\| $$$$$$$\| $$      | $$$$$$$\
             | $$/  $\| $$| $$  | $$| $$__| $$| $$      | $$  | $$
             | $$  $$$\ $$| $$  | $$| $$    $$| $$      | $$  | $$
             | $$ $$\$$\$$| $$  | $$| $$$$$$$\| $$      | $$  | $$
             | $$$$  \$$$$| $$__/ $$| $$  | $$| $$_____ | $$__/ $$
             | $$$    \$$$ \$$    $$| $$  | $$| $$     \| $$    $$
              \$$      \$$  \$$$$$$  \$$   \$$ \$$$$$$$$ \$$$$$$$ 

Welcome to TextWorld! You find yourself in a messy house. Many things are not in their usual location. Let's clean up this place. Once you are done, this little house is going to be spick and span! Look for anything that is out of place and put it away in its proper location.

-= Backyard =-
You find yourself in a backyard. A typical one.

You make out a BBQ. But the thing hasn't got anything on it. As if things weren't amazing enough already, you can even see a clothesline. The clothesline is typical. But the thing hasn't got anything on it. It would have been so cool if there was stuff on the clothesline. You can make out a patio table. Now why would someone leave that there? Looks like someone's already been here and taken everything off it, though.



There is a wet blue polo shirt on the floor.

these are the possible verbs you can use: ['close', 'drop', 'examine', 'go', 'insert', 'inventory', 'lock', 'look', 'open', 'put', 'take', 'unlock'].

 Choose your next action.Remember to express your action in the valid format and to surround the action between quotes ('')",user,0
1,591,commonsense, go backyard,assistant,1
2,591,commonsense," This is the present state of the game
You can't see any such thing.

>
these are the possible verbs you can use: ['close', 'drop', 'examine', 'go', 'insert', 'inventory', 'lock', 'look', 'open', 'put', 'take', 'unlock'].

 Choose your next action.Remember to express your action in the valid format and to surround the action between quotes ('')",user,2
3,591,commonsense, examine clothesline,assistant,3
4,591,commonsense," This is the present state of the game
The clothesline is solidly built.

<score>
0
</score><moves>
3
</moves>
>
these are the possible verbs you can use: ['close', 'drop', 'examine', 'go', 'insert', 'inventory', 'lock', 'look', 'open', 'put', 'take', 'unlock'].

 Choose your next action.Remember to express your action in the valid format and to surround the action between quotes ('')",user,4
5,591,commonsense, take wet blue polo shirt,assistant,5
6,591,commonsense," This is the present state of the game
You pick up the wet blue polo shirt from the ground.


<score>
0
</score><moves>
5
</moves>
>
these are the possible verbs you can use: ['close', 'drop', 'examine', 'go', 'insert', 'inventory', 'lock', 'look', 'open', 'put', 'take', 'unlock'].

 Choose your next action.Remember to express your action in the valid format and to surround the action between quotes ('')",user,6
7,591,commonsense, go backyard,assistant,7
8,591,commonsense," This is the present state of the game
You can't see any such thing.

>
these are the possible verbs you can use: ['close', 'drop', 'examine', 'go', 'insert', 'inventory', 'lock', 'look', 'open', 'put', 'take', 'unlock'].

 Choose your next action.Remember to express your action in the valid format and to surround the action between quotes ('')",user,8
9,591,commonsense, put wet blue polo shirt on clothesline,assistant,9
